0,1,2,3,4,5,6,7,8,9
5.236,8.719,40.724,10.77,90.12,3.815,53.62,33.22,85.209,15.966
92.707,51.668,72.061,6.567,44.065,57.558,33.399,55.935,68.514,83.419
77.005,99.249,90.314,94.862,23.908,3.184,43.159,52.387,84.743,96.261
80.553,78.61,87.019,94.106,3.113,64.038,15.977,17.114,11.348,63.203
23.108,7.684,65.638,14.423,28.838,33.805,2.808,55.985,34.436,82.394
85.212,9.252,73.5,13.881,63.741,93.024,57.153,40.565,74.351,1.761
85.429,44.899,67.93,94.637,97.221,2.201,77.873,73.334,91.529,4.95
79.695,62.86,47.254,8.135,61.323,35.701,52.4,96.935,52.75,25.445
66.219,78.195,42.153,70.032,67.474,90.26,7.049,85.512,95.138,34.589
55.336,93.959,46.487,12.201,66.742,59.701,42.824,52.53,17.944,32.541
20.352,60.501,68.723,47.722,20.978,38.629,6.973,65.857,96.342,24.076
55.412,18.836,14.931,71.425,97.353,90.996,14.126,92.172,9.488,62.659
53.865,90.804,82.778,50.651,40.611,50.282,95.387,10.883,45.329,27.523
87.161,40.429,30.488,97.516,87.278,80.593,97.724,96.566,42.559,22.99
9.189,56.621,84.694,88.93,38.367,84.821,69.618,7.483,34.3,77.758
65.663,5.206,65.206,12.47,70.591,87.995,93.926,32.289,8.356,72.32
29.412,8.683,8.758,36.98,15.658,25.461,71.601,97.981,30.095,17.269
89.955,70.243,81.796,44.396,15.071,24.614,69.07,72.0,27.058,18.208
60.108,74.228,41.783,63.048,85.155,18.195,72.276,94.293,33.278,92.5
94.592,40.521,18.699,54.158,1.113,85.441,73.619,0.675,13.557,21.269
