0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
5.236,8.719,40.724,10.77,90.12,3.815,53.62,33.22,85.209,15.966,33.722,33.38,24.516,0.167,43.628,8.761,59.76,6.988,31.546,44.832,90.54,9.276,14.218,79.007,2.124,91.115,57.341,26.532,83.784,76.879
92.707,51.668,72.061,6.567,44.065,57.558,33.399,55.935,68.514,83.419,9.761,68.846,34.397,21.566,99.508,67.839,44.905,9.368,96.932,2.936,20.825,9.995,79.251,86.9,83.071,16.366,50.47,86.19,81.742,49.277
77.005,99.249,90.314,94.862,23.908,3.184,43.159,52.387,84.743,96.261,87.978,88.985,56.022,81.763,34.756,16.272,0.013,72.217,43.224,71.908,64.522,54.123,89.282,80.017,9.139,86.672,99.825,23.241,40.088,93.277
80.553,78.61,87.019,94.106,3.113,64.038,15.977,17.114,11.348,63.203,87.676,27.675,49.299,99.826,98.674,28.562,24.716,76.174,6.154,81.816,21.606,67.279,52.574,32.477,90.78,24.795,94.867,57.429,88.019,94.366
23.108,7.684,65.638,14.423,28.838,33.805,2.808,55.985,34.436,82.394,18.997,82.607,82.577,94.342,82.459,29.958,40.664,93.989,30.871,68.004,49.694,3.268,48.119,4.296,87.196,23.267,82.305,86.765,40.326,73.84
85.212,9.252,73.5,13.881,63.741,93.024,57.153,40.565,74.351,1.761,69.116,86.705,29.899,81.472,10.788,12.083,99.988,65.971,85.922,90.447,80.398,61.843,69.138,68.898,92.251,46.223,44.681,19.948,83.689,87.132
85.429,44.899,67.93,94.637,97.221,2.201,77.873,73.334,91.529,4.95,95.626,59.978,41.576,7.557,77.8,67.411,29.667,58.068,24.551,66.022,38.987,81.408,23.736,32.444,37.162,63.424,46.686,59.086,14.968,93.764
79.695,62.86,47.254,8.135,61.323,35.701,52.4,96.935,52.75,25.445,36.707,59.866,14.739,79.544,70.446,67.688,17.517,78.456,55.582,10.146,26.708,28.402,60.195,74.44,78.489,96.927,23.899,30.507,58.1,71.745
66.219,78.195,42.153,70.032,67.474,90.26,7.049,85.512,95.138,34.589,57.192,40.616,13.329,29.268,90.817,68.215,48.405,39.428,87.416,33.585,9.229,5.059,17.55,63.878,66.376,6.942,92.207,95.728,19.534,25.322
55.336,93.959,46.487,12.201,66.742,59.701,42.824,52.53,17.944,32.541,28.121,59.173,39.043,27.334,68.584,68.977,51.285,82.183,64.667,66.202,46.203,41.039,69.073,44.249,89.795,49.7,93.49,73.388,41.063,69.154
20.352,60.501,68.723,47.722,20.978,38.629,6.973,65.857,96.342,24.076,79.668,17.9,83.583,83.802,21.644,13.338,71.619,37.173,35.229,98.883,80.501,7.684,7.187,61.86,7.548,89.268,45.029,14.226,26.588,78.892
55.412,18.836,14.931,71.425,97.353,90.996,14.126,92.172,9.488,62.659,46.329,80.608,72.194,21.762,28.232,45.574,9.743,16.352,1.941,54.414,44.802,23.39,10.008,6.89,27.918,15.881,33.417,62.513,15.148,14.489
53.865,90.804,82.778,50.651,40.611,50.282,95.387,10.883,45.329,27.523,14.113,72.766,45.869,73.789,60.055,27.637,12.55,70.653,74.999,8.449,76.945,23.529,44.696,15.853,7.701,68.239,54.642,24.411,42.605,51.224
87.161,40.429,30.488,97.516,87.278,80.593,97.724,96.566,42.559,22.99,96.923,29.806,10.458,56.258,75.881,0.896,20.991,59.885,4.88,31.14,10.577,17.206,24.54,97.42,31.912,2.454,65.472,36.034,7.296,30.662
9.189,56.621,84.694,88.93,38.367,84.821,69.618,7.483,34.3,77.758,93.668,84.894,76.043,59.586,86.722,85.046,29.959,49.014,37.6,8.3,22.222,2.724,75.652,66.904,8.73,49.44,36.714,29.025,17.347,90.057
65.663,5.206,65.206,12.47,70.591,87.995,93.926,32.289,8.356,72.32,33.279,31.122,4.637,48.347,29.381,4.153,1.374,76.494,78.243,40.218,57.691,95.901,20.667,67.669,16.895,2.151,47.223,72.585,73.568,0.14
29.412,8.683,8.758,36.98,15.658,25.461,71.601,97.981,30.095,17.269,12.646,2.798,49.632,82.713,82.038,33.621,79.253,9.427,34.557,39.33,36.824,0.027,92.242,40.985,66.668,11.561,90.657,21.216,80.615,0.467
89.955,70.243,81.796,44.396,15.071,24.614,69.07,72.0,27.058,18.208,57.588,96.469,58.154,79.589,80.424,92.945,56.455,54.965,30.577,28.599,0.492,69.655,71.21,59.342,62.593,21.99,15.601,28.789,54.794,23.455
60.108,74.228,41.783,63.048,85.155,18.195,72.276,94.293,33.278,92.5,55.118,26.991,32.259,1.974,96.129,34.344,30.919,65.346,30.741,85.175,36.903,67.345,16.263,46.386,1.986,44.721,91.562,87.933,75.012,79.035
94.592,40.521,18.699,54.158,1.113,85.441,73.619,0.675,13.557,21.269,49.779,43.491,61.737,51.318,9.644,57.962,18.242,3.179,30.006,64.884,30.255,79.968,43.482,16.359,14.282,66.416,25.831,51.489,70.525,68.857
