0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
5.236,8.719,40.724,10.77,90.12,3.815,53.62,33.22,85.209,15.966,33.722,33.38,24.516,0.167,43.628,8.761,59.76,6.988,31.546,44.832,90.54,9.276,14.218,79.007,2.124,91.115,57.341,26.532,83.784,76.879,34.346,80.15,20.686,60.89,52.707,80.934,31.526,39.824,76.928,51.275,68.484,63.835,66.666,89.01,48.614,66.847,37.452,3.184,75.417,18.146
92.707,51.668,72.061,6.567,44.065,57.558,33.399,55.935,68.514,83.419,9.761,68.846,34.397,21.566,99.508,67.839,44.905,9.368,96.932,2.936,20.825,9.995,79.251,86.9,83.071,16.366,50.47,86.19,81.742,49.277,56.975,12.929,91.69,12.367,14.761,36.431,21.446,3.178,42.146,7.074,20.029,47.341,43.485,53.825,8.38,36.301,61.866,51.751,8.735,83.044
77.005,99.249,90.314,94.862,23.908,3.184,43.159,52.387,84.743,96.261,87.978,88.985,56.022,81.763,34.756,16.272,0.013,72.217,43.224,71.908,64.522,54.123,89.282,80.017,9.139,86.672,99.825,23.241,40.088,93.277,47.801,20.126,74.955,25.445,35.256,62.839,99.551,35.935,41.877,98.177,53.544,14.214,56.391,6.094,3.113,65.506,36.847,50.733,58.067,36.404
80.553,78.61,87.019,94.106,3.113,64.038,15.977,17.114,11.348,63.203,87.676,27.675,49.299,99.826,98.674,28.562,24.716,76.174,6.154,81.816,21.606,67.279,52.574,32.477,90.78,24.795,94.867,57.429,88.019,94.366,91.284,29.41,90.529,98.526,35.072,18.057,31.44,97.116,8.763,26.265,69.543,50.742,34.909,79.023,24.874,6.072,60.438,0.952,71.057,30.633
23.108,7.684,65.638,14.423,28.838,33.805,2.808,55.985,34.436,82.394,18.997,82.607,82.577,94.342,82.459,29.958,40.664,93.989,30.871,68.004,49.694,3.268,48.119,4.296,87.196,23.267,82.305,86.765,40.326,73.84,27.064,7.623,51.267,26.597,18.003,46.81,83.872,38.049,82.396,25.637,89.993,29.255,29.077,51.143,14.315,98.956,67.322,40.68,69.852,62.597
85.212,9.252,73.5,13.881,63.741,93.024,57.153,40.565,74.351,1.761,69.116,86.705,29.899,81.472,10.788,12.083,99.988,65.971,85.922,90.447,80.398,61.843,69.138,68.898,92.251,46.223,44.681,19.948,83.689,87.132,89.459,66.149,21.912,56.884,39.559,79.858,37.489,38.935,69.805,78.417,80.22,95.195,98.196,78.455,95.853,21.841,0.373,93.734,8.506,49.162
85.429,44.899,67.93,94.637,97.221,2.201,77.873,73.334,91.529,4.95,95.626,59.978,41.576,7.557,77.8,67.411,29.667,58.068,24.551,66.022,38.987,81.408,23.736,32.444,37.162,63.424,46.686,59.086,14.968,93.764,40.034,49.199,48.191,14.815,97.203,4.109,30.77,87.065,40.553,21.386,46.852,29.309,93.519,90.222,70.779,34.047,38.408,97.781,33.591,20.636
79.695,62.86,47.254,8.135,61.323,35.701,52.4,96.935,52.75,25.445,36.707,59.866,14.739,79.544,70.446,67.688,17.517,78.456,55.582,10.146,26.708,28.402,60.195,74.44,78.489,96.927,23.899,30.507,58.1,71.745,52.486,61.201,11.055,60.751,28.717,3.374,72.549,84.297,13.542,68.367,51.997,21.225,77.317,57.541,88.044,58.506,13.25,42.323,82.211,59.134
66.219,78.195,42.153,70.032,67.474,90.26,7.049,85.512,95.138,34.589,57.192,40.616,13.329,29.268,90.817,68.215,48.405,39.428,87.416,33.585,9.229,5.059,17.55,63.878,66.376,6.942,92.207,95.728,19.534,25.322,38.432,32.743,68.646,17.557,27.693,26.416,31.2,10.501,25.708,24.71,72.425,55.675,14.855,60.662,76.938,59.299,63.424,92.032,2.547,55.141
55.336,93.959,46.487,12.201,66.742,59.701,42.824,52.53,17.944,32.541,28.121,59.173,39.043,27.334,68.584,68.977,51.285,82.183,64.667,66.202,46.203,41.039,69.073,44.249,89.795,49.7,93.49,73.388,41.063,69.154,18.825,42.97,44.475,59.414,82.374,85.22,95.276,54.327,91.708,39.793,50.551,77.442,76.738,89.618,31.721,13.213,44.458,88.433,68.216,5.133
