0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
5.236,8.719,40.724,10.77,90.12,3.815,53.62,33.22,85.209,15.966,33.722,33.38,24.516,0.167,43.628,8.761,59.76,6.988,31.546,44.832,90.54,9.276,14.218,79.007,2.124,91.115,57.341,26.532,83.784,76.879,34.346,80.15,20.686,60.89,52.707,80.934,31.526,39.824,76.928,51.275,68.484,63.835,66.666,89.01,48.614,66.847,37.452,3.184,75.417,18.146,82.019,91.365,65.807,17.013,33.692,39.119,7.329,45.677,57.317,33.611,18.906,8.816,62.832,1.283,35.191,22.913,53.2,72.366,90.915,63.88,99.179,96.406,62.999,23.337,48.381,17.759,99.196,44.45,75.165,4.413,13.473,19.318,25.636,35.205,27.193,43.427,42.036,10.862,6.261,35.506,8.879,43.32,0.856,53.58,7.348,69.421,40.421,98.535,26.254,47.251
92.707,51.668,72.061,6.567,44.065,57.558,33.399,55.935,68.514,83.419,9.761,68.846,34.397,21.566,99.508,67.839,44.905,9.368,96.932,2.936,20.825,9.995,79.251,86.9,83.071,16.366,50.47,86.19,81.742,49.277,56.975,12.929,91.69,12.367,14.761,36.431,21.446,3.178,42.146,7.074,20.029,47.341,43.485,53.825,8.38,36.301,61.866,51.751,8.735,83.044,74.461,63.097,21.393,16.975,84.979,77.992,11.979,86.351,23.193,12.165,45.473,73.087,53.397,16.113,21.478,93.339,79.744,43.102,6.104,60.357,64.222,66.457,4.965,38.532,63.559,9.449,43.355,46.389,48.347,26.144,49.327,24.661,78.866,82.369,73.947,91.562,86.359,5.516,79.782,26.845,54.431,13.306,77.078,86.499,76.942,11.422,58.696,25.531,61.864,34.556
77.005,99.249,90.314,94.862,23.908,3.184,43.159,52.387,84.743,96.261,87.978,88.985,56.022,81.763,34.756,16.272,0.013,72.217,43.224,71.908,64.522,54.123,89.282,80.017,9.139,86.672,99.825,23.241,40.088,93.277,47.801,20.126,74.955,25.445,35.256,62.839,99.551,35.935,41.877,98.177,53.544,14.214,56.391,6.094,3.113,65.506,36.847,50.733,58.067,36.404,92.366,65.096,47.097,38.341,3.599,58.595,29.979,7.653,24.101,27.741,71.546,39.845,63.672,47.243,81.34,77.415,36.774,38.984,95.31,14.35,82.806,36.566,11.049,16.236,92.342,6.29,4.491,67.421,21.817,70.19,44.89,65.401,86.617,53.863,44.901,70.674,34.049,19.831,2.384,33.381,39.963,65.253,47.798,92.912,54.755,97.613,26.006,33.721,90.17,98.146
80.553,78.61,87.019,94.106,3.113,64.038,15.977,17.114,11.348,63.203,87.676,27.675,49.299,99.826,98.674,28.562,24.716,76.174,6.154,81.816,21.606,67.279,52.574,32.477,90.78,24.795,94.867,57.429,88.019,94.366,91.284,29.41,90.529,98.526,35.072,18.057,31.44,97.116,8.763,26.265,69.543,50.742,34.909,79.023,24.874,6.072,60.438,0.952,71.057,30.633,45.134,73.143,99.265,99.436,33.582,70.948,14.57,98.009,58.451,43.633,25.869,54.731,21.268,1.713,33.184,82.223,31.853,54.146,46.823,48.795,48.684,68.328,2.905,64.73,47.417,74.643,87.155,82.202,74.334,41.997,98.174,47.872,30.361,4.126,53.145,79.118,50.775,51.684,60.571,77.13,89.372,30.577,21.688,50.559,20.912,60.172,14.349,76.93,71.674,16.993
23.108,7.684,65.638,14.423,28.838,33.805,2.808,55.985,34.436,82.394,18.997,82.607,82.577,94.342,82.459,29.958,40.664,93.989,30.871,68.004,49.694,3.268,48.119,4.296,87.196,23.267,82.305,86.765,40.326,73.84,27.064,7.623,51.267,26.597,18.003,46.81,83.872,38.049,82.396,25.637,89.993,29.255,29.077,51.143,14.315,98.956,67.322,40.68,69.852,62.597,15.121,77.406,18.78,98.183,89.155,82.364,55.85,62.416,73.88,72.648,99.99,20.052,36.896,23.096,45.541,63.493,83.009,34.378,0.383,68.437,79.537,25.261,77.057,45.138,99.442,36.158,40.765,91.168,36.109,6.328,35.013,48.004,49.841,23.351,70.576,79.487,80.327,64.29,72.526,1.879,70.197,69.25,22.021,52.864,29.396,48.512,34.129,14.823,17.107,57.6
85.212,9.252,73.5,13.881,63.741,93.024,57.153,40.565,74.351,1.761,69.116,86.705,29.899,81.472,10.788,12.083,99.988,65.971,85.922,90.447,80.398,61.843,69.138,68.898,92.251,46.223,44.681,19.948,83.689,87.132,89.459,66.149,21.912,56.884,39.559,79.858,37.489,38.935,69.805,78.417,80.22,95.195,98.196,78.455,95.853,21.841,0.373,93.734,8.506,49.162,16.626,2.851,26.984,80.235,92.874,87.452,8.39,42.791,25.877,22.648,80.912,51.845,72.426,98.792,74.05,52.819,13.034,46.55,37.571,11.471,60.672,41.727,71.215,8.414,9.13,21.703,54.386,99.594,48.983,36.755,54.926,78.746,28.218,65.713,98.148,8.656,25.5,85.647,26.596,18.885,24.44,73.241,49.182,94.348,89.282,20.755,78.143,79.923,41.186,50.37
85.429,44.899,67.93,94.637,97.221,2.201,77.873,73.334,91.529,4.95,95.626,59.978,41.576,7.557,77.8,67.411,29.667,58.068,24.551,66.022,38.987,81.408,23.736,32.444,37.162,63.424,46.686,59.086,14.968,93.764,40.034,49.199,48.191,14.815,97.203,4.109,30.77,87.065,40.553,21.386,46.852,29.309,93.519,90.222,70.779,34.047,38.408,97.781,33.591,20.636,22.17,5.804,0.814,86.762,99.769,22.793,31.493,79.37,91.627,28.605,13.346,17.514,91.088,83.155,3.334,67.436,30.175,22.861,27.782,76.258,28.984,48.005,22.49,47.73,65.911,59.302,56.07,50.356,40.277,83.124,59.712,15.476,15.639,4.974,47.848,78.197,51.047,66.949,67.669,42.271,46.153,37.181,57.559,33.281,60.968,31.558,64.778,23.55,92.597,40.593
79.695,62.86,47.254,8.135,61.323,35.701,52.4,96.935,52.75,25.445,36.707,59.866,14.739,79.544,70.446,67.688,17.517,78.456,55.582,10.146,26.708,28.402,60.195,74.44,78.489,96.927,23.899,30.507,58.1,71.745,52.486,61.201,11.055,60.751,28.717,3.374,72.549,84.297,13.542,68.367,51.997,21.225,77.317,57.541,88.044,58.506,13.25,42.323,82.211,59.134,61.411,9.674,34.14,4.67,19.733,27.029,84.661,28.711,78.05,2.515,33.696,97.57,0.622,36.044,48.449,22.121,46.987,32.616,55.45,63.375,70.441,95.288,82.728,35.03,18.69,79.575,41.871,92.654,81.866,8.406,59.309,80.227,71.89,32.398,79.456,95.563,18.07,50.171,93.977,14.226,34.063,42.178,49.101,85.972,88.556,86.559,25.933,68.816,93.941,32.064
66.219,78.195,42.153,70.032,67.474,90.26,7.049,85.512,95.138,34.589,57.192,40.616,13.329,29.268,90.817,68.215,48.405,39.428,87.416,33.585,9.229,5.059,17.55,63.878,66.376,6.942,92.207,95.728,19.534,25.322,38.432,32.743,68.646,17.557,27.693,26.416,31.2,10.501,25.708,24.71,72.425,55.675,14.855,60.662,76.938,59.299,63.424,92.032,2.547,55.141,73.329,47.577,40.489,61.432,41.676,29.876,67.14,96.28,94.316,30.864,57.925,13.936,56.938,6.377,86.43,70.168,87.654,78.144,86.408,11.868,81.277,36.102,99.361,45.069,8.933,59.226,47.888,41.064,79.716,64.31,5.652,40.258,90.228,94.11,24.336,60.036,98.05,91.963,29.916,84.233,28.9,54.674,14.853,39.635,50.654,50.561,10.583,26.971,84.828,47.397
55.336,93.959,46.487,12.201,66.742,59.701,42.824,52.53,17.944,32.541,28.121,59.173,39.043,27.334,68.584,68.977,51.285,82.183,64.667,66.202,46.203,41.039,69.073,44.249,89.795,49.7,93.49,73.388,41.063,69.154,18.825,42.97,44.475,59.414,82.374,85.22,95.276,54.327,91.708,39.793,50.551,77.442,76.738,89.618,31.721,13.213,44.458,88.433,68.216,5.133,6.821,15.294,37.346,63.358,53.361,60.314,65.765,87.58,19.891,93.236,94.727,49.429,25.076,24.369,78.601,64.59,24.983,16.121,20.433,38.507,26.282,15.555,89.254,43.513,27.352,37.053,37.153,51.259,2.15,31.331,7.104,15.512,20.23,7.566,77.516,44.25,65.362,0.958,32.922,77.301,27.239,23.664,76.946,46.98,53.321,78.887,48.602,23.896,15.988,89.165
